,date_of_event,age,citizenship,event_location,event_location_district,event_location_region,gender,type_of_injury,ammunition,killed_by,datetime
0,2023-09-24,32.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-24
1,2023-09-24,21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-24
2,2023-09-22,16.0,Palestinian,Kfar Dan,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-22
3,2023-09-20,19.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-20
4,2023-09-19,15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-19
5,2023-09-19,29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
6,2023-09-19,24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,live ammunition,Israeli security forces,2023-09-19
7,2023-09-19,25.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
8,2023-09-19,23.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
9,2023-09-09,15.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-09
10,2023-09-05,16.0,Palestinian,Argaman,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-05
11,2023-09-05,21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-05
12,2023-09-01,45.0,Palestinian,'Aqqabah,Tubas,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-01
13,2023-08-31,41.0,Palestinian,Beit Sira,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-31
14,2023-08-30,14.0,Palestinian,al-Musrarah,East Jerusalem,West Bank,M,stabbing,live ammunition,Israeli security forces,2023-08-30
15,2023-08-22,17.0,Palestinian,a-Zababidah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-22
16,2023-08-21,40.0,Israeli,Beit Hagai,Hebron,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-08-21
17,2023-08-19,28.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-08-19
18,2023-08-19,60.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-08-19
19,2023-08-17,32.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-17
20,2023-08-16,19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-16
21,2023-08-15,16.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-15
22,2023-08-15,25.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-15
23,2023-08-11,24.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-11
24,2023-08-10,24.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-10
25,2023-08-06,21.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
26,2023-08-06,26.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
27,2023-08-06,16.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
28,2023-08-05,22.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Israeli civilians,2023-08-05
29,2023-08-05,42.0,Israeli,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Palestinian civilians,2023-08-05
30,2023-08-04,18.0,Palestinian,Burqah,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-08-04
31,2023-08-04,17.0,Palestinian,Tulkarm,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-04
32,2023-08-02,17.0,Palestinian,Ofra,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-02
33,2023-08-01,20.0,Palestinian,Ma'ale Adumim,al-Quds,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-01
34,2023-08-01,15.0,Palestinian,Mitzpe Eshtamoa,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-01
35,2023-07-26,23.0,Palestinian,'Ein Beit al-Maa R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-26
36,2023-07-25,32.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-25
37,2023-07-25,32.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-25
38,2023-07-25,42.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-25
39,2023-07-21,18.0,Palestinian,Sabastiya,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-21
40,2023-07-21,16.0,Palestinian,Um Safa,Ramallah and al-Bira,West Bank,M,gunfire,,Israeli security forces,2023-07-21
41,2023-07-20,18.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-20
42,2023-07-10,33.0,Palestinian,Deir Nizam,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-10
43,2023-07-07,32.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-07
44,2023-07-07,34.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-07
45,2023-07-07,24.0,Palestinian,Um Safa,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-07
46,2023-07-04,20.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Israeli civilians,2023-07-04
47,2023-07-04,20.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-04
48,2023-07-04,16.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-04
49,2023-07-03,21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
50,2023-07-03,19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-07-03
51,2023-07-03,18.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
52,2023-07-03,21.0,Palestinian,al-Birah,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
53,2023-07-03,19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-07-03
54,2023-07-03,19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-07-03
55,2023-07-03,26.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
56,2023-07-03,17.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
57,2023-07-03,15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
58,2023-07-03,16.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
59,2023-07-03,19.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-07-03
60,2023-06-24,16.0,Palestinian,Qalandia,al-Quds,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-24
61,2023-06-23,39.0,Palestinian,'Askar R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-23
62,2023-06-21,28.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-06-21
63,2023-06-21,27.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-06-21
64,2023-06-21,24.0,Palestinian,Turmusaya,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-21
65,2023-06-21,15.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-06-21
66,2023-06-20,17.0,Israeli,Eli,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-06-20
67,2023-06-20,24.0,Palestinian,Tubas,Tubas,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-20
68,2023-06-20,25.0,Palestinian,Eli,Nablus,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-06-20
69,2023-06-20,21.0,Israeli,Eli,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-06-20
70,2023-06-20,18.0,Israeli,Eli,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-06-20
71,2023-06-20,64.0,Israeli,Eli,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-06-20
72,2023-06-19,18.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
73,2023-06-19,14.0,Palestinian,Jenin R.C.,Jenin,West Bank,F,gunfire,live ammunition,Israeli security forces,2023-06-19
74,2023-06-19,19.0,Palestinian,Husan,Bethlehem,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
75,2023-06-19,48.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
76,2023-06-19,21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
77,2023-06-19,19.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
78,2023-06-19,14.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
79,2023-06-19,31.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-19
80,2023-06-15,19.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-15
81,2023-06-13,19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-13
82,2023-06-09,29.0,Palestinian,Rantis,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-09
83,2023-06-01,2.0,Palestinian,a-Nabi Saleh,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-06-01
84,2023-05-30,32.0,Israeli,Hermesh,Jenin,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-05-30
85,2023-05-29,38.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-29
86,2023-05-26,25.0,Palestinian,Tene,Hebron,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-05-26
87,2023-05-22,24.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-22
88,2023-05-22,30.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-22
89,2023-05-22,30.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-22
90,2023-05-15,22.0,Palestinian,'Askar R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-15
91,2023-05-13,19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-13
92,2023-05-13,32.0,Palestinian,Barta'ah a-Sharqiyah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-13
93,2023-05-13,32.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-13
94,2023-05-12,51.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-12
95,2023-05-12,33.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-12
96,2023-05-11,49.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
97,2023-05-11,66.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-11
98,2023-05-11,25.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
99,2023-05-11,82.0,Israeli,Rehovot,Israel,Israel,F,gunfire,rocket,Palestinian civilians,2023-05-11
100,2023-05-11,43.0,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
101,2023-05-11,43.0,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
102,2023-05-11,36.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
103,2023-05-11,21.0,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
104,2023-05-11,31.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
105,2023-05-11,23.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
106,2023-05-11,33.0,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-11
107,2023-05-10,24.0,Palestinian,Qabatiyah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-10
108,2023-05-10,25.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-10
109,2023-05-10,28.0,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-10
110,2023-05-10,23.0,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-10
111,2023-05-10,26.0,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-10
112,2023-05-10,18.0,Palestinian,Qabatiyah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-10
113,2023-05-10,30.0,Palestinian,Qabatiyah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-10
114,2023-05-09,17.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
115,2023-05-09,8.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
116,2023-05-09,33.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
117,2023-05-09,27.0,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
118,2023-05-09,48.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
119,2023-05-09,52.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
120,2023-05-09,19.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
121,2023-05-09,44.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
122,2023-05-09,10.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
123,2023-05-09,61.0,Palestinian,Rafah,Rafah,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
124,2023-05-09,4.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
125,2023-05-09,61.0,Palestinian,Rafah,Rafah,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
126,2023-05-09,19.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
127,2023-05-09,44.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-09
128,2023-05-09,43.0,Palestinian,Gaza City,Gaza,Gaza Strip,F,gunfire,missile,Israeli security forces,2023-05-09
129,2023-05-06,20.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-06
130,2023-05-06,23.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-06
131,2023-05-04,26.0,Palestinian,Huwarah,Nablus,West Bank,F,gunfire,live ammunition,Israeli security forces,2023-05-04
132,2023-05-04,35.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-04
133,2023-05-04,35.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-04
134,2023-05-04,45.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-04
135,2023-05-02,58.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,missile,Israeli security forces,2023-05-02
136,2023-05-01,17.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-05-01
137,2023-04-28,15.0,Palestinian,Tekoa,Bethlehem,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-28
138,2023-04-27,39.0,Palestinian,Ari'el,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-27
139,2023-04-24,21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-24
140,2023-04-11,38.0,Palestinian,Elon Moreh,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-11
141,2023-04-11,35.0,Palestinian,Elon Moreh,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-11
142,2023-04-10,17.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-10
143,2023-04-08,19.0,Palestinian,'Azzun,Qalqiliya,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-08
144,2023-04-07,16.0,Israeli,Hamra,Jericho,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-04-07
145,2023-04-07,48.0,Israeli,Hamra,Jericho,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-04-07
146,2023-04-07,20.0,Israeli,Hamra,Jericho,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-04-07
147,2023-04-03,20.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-03
148,2023-04-03,42.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-03
149,2023-04-01,23.0,Palestinian,Beit Ummar,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-04-01
150,2023-03-23,24.0,Palestinian,'Izbat Shufah,Tulkarm,West Bank,M,gunfire,,Israeli security forces,2023-03-23
151,2023-03-17,22.0,Palestinian,al-Birah,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-17
152,2023-03-16,29.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-16
153,2023-03-16,28.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-16
154,2023-03-16,35.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-16
155,2023-03-16,14.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-16
156,2023-03-12,24.0,Palestinian,Sarra,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-12
157,2023-03-12,22.0,Palestinian,Sarra,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-12
158,2023-03-12,18.0,Palestinian,Sarra,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-12
159,2023-03-10,21.0,Palestinian,Havat Dorot Ilit,Qalqiliya,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-03-10
160,2023-03-10,14.0,Palestinian,Qalqiliyah,Qalqiliya,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-10
161,2023-03-09,32.0,Israeli,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Palestinian civilians,2023-03-09
162,2023-03-09,29.0,Palestinian,Jaba',Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-09
163,2023-03-09,23.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Israeli security forces,2023-03-09
164,2023-03-09,22.0,Palestinian,Jaba',Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-09
165,2023-03-09,25.0,Palestinian,Jaba',Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-09
166,2023-03-07,21.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
167,2023-03-07,15.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
168,2023-03-07,26.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
169,2023-03-07,27.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
170,2023-03-07,49.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
171,2023-03-07,31.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
172,2023-03-07,29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-07
173,2023-03-02,17.0,Palestinian,'Azzun,Qalqiliya,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-02
174,2023-03-01,21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-03-01
175,2023-02-27,26.0,Israeli,Jericho,Jericho,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-02-27
176,2023-02-26,20.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-02-26
177,2023-02-26,22.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-02-26
178,2023-02-23,20.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-23
179,2023-02-22,28.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
180,2023-02-22,23.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,,Israeli security forces,2023-02-22
181,2023-02-22,24.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
182,2023-02-22,23.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,,Israeli security forces,2023-02-22
183,2023-02-22,25.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
184,2023-02-22,32.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
185,2023-02-22,22.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
186,2023-02-22,16.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
187,2023-02-22,64.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
188,2023-02-22,71.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-22
189,2023-02-22,23.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,,Israeli security forces,2023-02-22
190,2023-02-14,17.0,Palestinian,al-Far'ah R.C.,Tubas,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-14
191,2023-02-13,21.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-13
192,2023-02-12,29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-12
193,2023-02-12,16.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-12
194,2023-02-11,27.0,Palestinian,Qarawat Bani Hassan,Salfit,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-02-11
195,2023-02-10,6.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,hit by a vehicle,,Palestinian civilians,2023-02-10
196,2023-02-10,8.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,hit by a vehicle,,Palestinian civilians,2023-02-10
197,2023-02-10,20.0,Israeli,Ramot Alon,East Jerusalem,West Bank,M,hit by a vehicle,,Palestinian civilians,2023-02-10
198,2023-02-10,31.0,Palestinian,Ramot Alon,East Jerusalem,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-10
199,2023-02-09,19.0,Palestinian,al-Fawar R.C.,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-09
200,2023-02-08,16.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-08
201,2023-02-07,16.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-07
202,2023-02-06,22.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,0.22-caliber bullets,Israeli security forces,2023-02-06
203,2023-02-06,21.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-06
204,2023-02-06,27.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-06
206,2023-02-06,22.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-06
207,2023-02-03,25.0,Palestinian,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-02-03
208,2023-01-30,26.0,Palestinian,Hebron,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-01-30
209,2023-01-29,18.0,Palestinian,Kedumim,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-01-29
210,2023-01-27,21.0,Palestinian,Neve Ya'akov,East Jerusalem,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-01-27
211,2023-01-27,68.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-01-27
212,2023-01-27,45.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-01-27
213,2023-01-27,48.0,Israeli,Neve Ya'akov,East Jerusalem,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-01-27
